employee_id,year_month,base_salary,overtime_hours,overtime_pay,bonus,pf,tax,insurance,loan_deduction,gross_salary,total_deductions,net_salary,created_at
21,2025-06,38561.0,6,1446.04,3000.0,4627.32,4627.32,500.0,1000.0,43007.04,10754.64,32252.4,2025-09-17 23:22:34
22,2025-06,97256.0,8,4862.8,2000.0,11670.72,19451.2,1000.0,0.0,104118.8,32121.92,71996.88,2025-09-17 23:22:34
23,2025-06,59538.0,4,1488.45,0.0,7144.56,7144.56,1000.0,2000.0,61026.45,17289.12,43737.33,2025-09-17 23:22:34
24,2025-06,41773.0,4,1044.33,1000.0,5012.76,5012.76,1000.0,2000.0,43817.33,13025.52,30791.81,2025-09-17 23:22:34
25,2025-06,36910.0,6,1384.12,1000.0,4429.2,4429.2,500.0,0.0,39294.12,9358.4,29935.72,2025-09-17 23:22:34
26,2025-06,68419.0,3,1282.86,0.0,8210.28,8210.28,1000.0,0.0,69701.86,17420.56,52281.3,2025-09-17 23:22:34
27,2025-06,99268.0,7,4342.97,2000.0,11912.16,19853.6,1000.0,0.0,105610.97,32765.76,72845.21,2025-09-17 23:22:34
28,2025-06,61827.0,4,1545.67,0.0,7419.24,7419.24,1000.0,0.0,63372.67,15838.48,47534.19,2025-09-17 23:22:34
29,2025-06,57299.0,7,2506.83,2000.0,6875.88,6875.88,1000.0,5000.0,61805.83,19751.76,42054.07,2025-09-17 23:22:34
30,2025-06,27693.0,2,346.16,500.0,3323.16,1384.65,500.0,0.0,28539.16,5207.81,23331.35,2025-09-17 23:22:34
31,2025-06,73925.0,4,1848.12,0.0,8871.0,14785.0,1000.0,0.0,75773.12,24656.0,51117.12,2025-09-17 23:22:34
32,2025-06,69262.0,2,865.77,0.0,8311.44,8311.44,1000.0,2000.0,70127.77,19622.88,50504.89,2025-09-17 23:22:34
33,2025-06,106373.0,7,4653.82,0.0,12764.76,21274.6,1000.0,2000.0,111026.82,37039.36,73987.46,2025-09-17 23:22:34
34,2025-06,103053.0,4,2576.32,3000.0,12366.36,20610.6,1000.0,1000.0,108629.32,34976.96,73652.36,2025-09-17 23:22:34
35,2025-06,58545.0,9,3293.16,0.0,7025.4,7025.4,1000.0,0.0,61838.16,15050.8,46787.36,2025-09-17 23:22:34
36,2025-06,65303.0,4,1632.58,1000.0,7836.36,7836.36,1000.0,5000.0,67935.58,21672.72,46262.86,2025-09-17 23:22:34
37,2025-06,42675.0,3,800.16,0.0,5121.0,5121.0,1000.0,0.0,43475.16,11242.0,32233.16,2025-09-17 23:22:34
38,2025-06,36636.0,6,1373.85,3000.0,4396.32,4396.32,500.0,0.0,41009.85,9292.64,31717.21,2025-09-17 23:22:34
39,2025-06,63673.0,8,3183.65,2000.0,7640.76,7640.76,1000.0,0.0,68856.65,16281.52,52575.13,2025-09-17 23:22:34
40,2025-06,74717.0,7,3268.87,1000.0,8966.04,14943.4,1000.0,2000.0,78985.87,26909.44,52076.43,2025-09-17 23:22:34
41,2025-06,56309.0,3,1055.79,1000.0,6757.08,6757.08,1000.0,5000.0,58364.79,19514.16,38850.63,2025-09-17 23:22:34
42,2025-06,60342.0,1,377.14,500.0,7241.04,7241.04,1000.0,0.0,61219.14,15482.08,45737.06,2025-09-17 23:22:34
43,2025-06,25197.0,3,472.44,3000.0,3023.64,1259.85,500.0,1000.0,28669.44,5783.49,22885.95,2025-09-17 23:22:34
44,2025-06,87107.0,4,2177.68,500.0,10452.84,17421.4,1000.0,0.0,89784.68,28874.24,60910.44,2025-09-17 23:22:34
45,2025-06,30811.0,2,385.14,2000.0,3697.32,3697.32,500.0,0.0,33196.14,7894.64,25301.5,2025-09-17 23:22:34
46,2025-06,60206.0,2,752.58,0.0,7224.72,7224.72,1000.0,0.0,60958.58,15449.44,45509.14,2025-09-17 23:22:34
47,2025-06,44360.0,9,2495.25,500.0,5323.2,5323.2,1000.0,2000.0,47355.25,13646.4,33708.85,2025-09-17 23:22:34
48,2025-06,74384.0,5,2324.5,0.0,8926.08,14876.8,1000.0,0.0,76708.5,24802.88,51905.62,2025-09-17 23:22:34
49,2025-06,81843.0,7,3580.63,0.0,9821.16,16368.6,1000.0,0.0,85423.63,27189.76,58233.87,2025-09-17 23:22:34
50,2025-06,27049.0,5,845.28,3000.0,3245.88,1352.45,500.0,0.0,30894.28,5098.33,25795.95,2025-09-17 23:22:34
51,2025-06,35158.0,5,1098.69,0.0,4218.96,4218.96,500.0,0.0,36256.69,8937.92,27318.77,2025-09-17 23:22:34
52,2025-06,39499.0,7,1728.08,0.0,4739.88,4739.88,500.0,2000.0,41227.08,11979.76,29247.32,2025-09-17 23:22:34
53,2025-06,75800.0,3,1421.25,500.0,9096.0,15160.0,1000.0,2000.0,77721.25,27256.0,50465.25,2025-09-17 23:22:34
54,2025-06,73354.0,7,3209.24,1000.0,8802.48,14670.8,1000.0,2000.0,77563.24,26473.28,51089.96,2025-09-17 23:22:34
55,2025-06,113497.0,5,3546.78,1000.0,13619.64,22699.4,1000.0,0.0,118043.78,37319.04,80724.74,2025-09-17 23:22:34
56,2025-06,53643.0,4,1341.08,1000.0,6437.16,6437.16,1000.0,0.0,55984.08,13874.32,42109.76,2025-09-17 23:22:34
57,2025-06,46295.0,3,868.03,0.0,5555.4,5555.4,1000.0,2000.0,47163.03,14110.8,33052.23,2025-09-17 23:22:34
58,2025-06,39735.0,5,1241.72,1000.0,4768.2,4768.2,500.0,5000.0,41976.72,15036.4,26940.32,2025-09-17 23:22:34
59,2025-06,54830.0,4,1370.75,1000.0,6579.6,6579.6,1000.0,0.0,57200.75,14159.2,43041.55,2025-09-17 23:22:34
60,2025-06,38677.0,2,483.46,0.0,4641.24,4641.24,500.0,0.0,39160.46,9782.48,29377.98,2025-09-17 23:22:34
61,2025-06,60352.0,6,2263.2,0.0,7242.24,7242.24,1000.0,0.0,62615.2,15484.48,47130.72,2025-09-17 23:22:34
62,2025-06,34007.0,4,850.17,0.0,4080.84,4080.84,500.0,0.0,34857.17,8661.68,26195.49,2025-09-17 23:22:34
63,2025-06,118744.0,6,4452.9,0.0,14249.28,23748.8,1000.0,5000.0,123196.9,43998.08,79198.82,2025-09-17 23:22:34
64,2025-06,60635.0,3,1136.91,0.0,7276.2,7276.2,1000.0,5000.0,61771.91,20552.4,41219.51,2025-09-17 23:22:34
65,2025-06,28301.0,6,1061.29,0.0,3396.12,1415.05,500.0,5000.0,29362.29,10311.17,19051.12,2025-09-17 23:22:34
66,2025-06,35492.0,4,887.3,1000.0,4259.04,4259.04,500.0,2000.0,37379.3,11018.08,26361.22,2025-09-17 23:22:34
67,2025-06,69584.0,9,3914.1,0.0,8350.08,8350.08,1000.0,0.0,73498.1,17700.16,55797.94,2025-09-17 23:22:34
68,2025-06,71631.0,5,2238.47,1000.0,8595.72,14326.2,1000.0,2000.0,74869.47,25921.92,48947.55,2025-09-17 23:22:34
69,2025-06,46538.0,3,872.59,1000.0,5584.56,5584.56,1000.0,1000.0,48410.59,13169.12,35241.47,2025-09-17 23:22:34
70,2025-06,99748.0,5,3117.12,0.0,11969.76,19949.6,1000.0,5000.0,102865.12,37919.36,64945.76,2025-09-17 23:22:34
71,2025-06,64592.0,4,1614.8,2000.0,7751.04,7751.04,1000.0,2000.0,68206.8,18502.08,49704.72,2025-09-17 23:22:34
72,2025-06,115316.0,4,2882.9,0.0,13837.92,23063.2,1000.0,5000.0,118198.9,42901.12,75297.78,2025-09-17 23:22:34
73,2025-06,35893.0,7,1570.32,2000.0,4307.16,4307.16,500.0,0.0,39463.32,9114.32,30349.0,2025-09-17 23:22:34
74,2025-06,38121.0,3,714.77,2000.0,4574.52,4574.52,500.0,5000.0,40835.77,14649.04,26186.73,2025-09-17 23:22:34
75,2025-06,52677.0,4,1316.92,0.0,6321.24,6321.24,1000.0,0.0,53993.92,13642.48,40351.44,2025-09-17 23:22:34
76,2025-06,115313.0,6,4324.24,0.0,13837.56,23062.6,1000.0,0.0,119637.24,37900.16,81737.08,2025-09-17 23:22:34
77,2025-06,73096.0,4,1827.4,0.0,8771.52,14619.2,1000.0,5000.0,74923.4,29390.72,45532.68,2025-09-17 23:22:34
78,2025-06,46606.0,10,2912.88,500.0,5592.72,5592.72,1000.0,5000.0,50018.88,17185.44,32833.44,2025-09-17 23:22:34
79,2025-06,29142.0,6,1092.82,3000.0,3497.04,1457.1,500.0,1000.0,33234.82,6454.14,26780.68,2025-09-17 23:22:34
80,2025-06,53940.0,5,1685.62,3000.0,6472.8,6472.8,1000.0,2000.0,58625.62,15945.6,42680.02,2025-09-17 23:22:34
81,2025-06,46136.0,8,2306.8,0.0,5536.32,5536.32,1000.0,2000.0,48442.8,14072.64,34370.16,2025-09-17 23:22:34
82,2025-06,62217.0,1,388.86,0.0,7466.04,7466.04,1000.0,1000.0,62605.86,16932.08,45673.78,2025-09-17 23:22:34
83,2025-06,75816.0,8,3790.8,0.0,9097.92,15163.2,1000.0,0.0,79606.8,25261.12,54345.68,2025-09-17 23:22:34
84,2025-06,37805.0,9,2126.53,1000.0,4536.6,4536.6,500.0,0.0,40931.53,9573.2,31358.33,2025-09-17 23:22:34
85,2025-06,73952.0,6,2773.2,2000.0,8874.24,14790.4,1000.0,0.0,78725.2,24664.64,54060.56,2025-09-17 23:22:34
86,2025-06,33130.0,6,1242.38,0.0,3975.6,3975.6,500.0,1000.0,34372.38,9451.2,24921.18,2025-09-17 23:22:34
87,2025-06,42253.0,5,1320.41,3000.0,5070.36,5070.36,1000.0,0.0,46573.41,11140.72,35432.69,2025-09-17 23:22:34
88,2025-06,105403.0,5,3293.84,2000.0,12648.36,21080.6,1000.0,0.0,110696.84,34728.96,75967.88,2025-09-17 23:22:34
89,2025-06,65247.0,6,2446.76,2000.0,7829.64,7829.64,1000.0,1000.0,69693.76,17659.28,52034.48,2025-09-17 23:22:34
90,2025-06,104101.0,8,5205.05,0.0,12492.12,20820.2,1000.0,2000.0,109306.05,36312.32,72993.73,2025-09-17 23:22:34
91,2025-06,62580.0,2,782.25,1000.0,7509.6,7509.6,1000.0,1000.0,64362.25,17019.2,47343.05,2025-09-17 23:22:34
92,2025-06,65257.0,3,1223.57,0.0,7830.84,7830.84,1000.0,2000.0,66480.57,18661.68,47818.89,2025-09-17 23:22:34
93,2025-06,58977.0,5,1843.03,2000.0,7077.24,7077.24,1000.0,0.0,62820.03,15154.48,47665.55,2025-09-17 23:22:34
94,2025-06,31833.0,6,1193.74,3000.0,3819.96,3819.96,500.0,5000.0,36026.74,13139.92,22886.82,2025-09-17 23:22:34
95,2025-06,83304.0,5,2603.25,1000.0,9996.48,16660.8,1000.0,5000.0,86907.25,32657.28,54249.97,2025-09-17 23:22:34
96,2025-06,48491.0,10,3030.69,0.0,5818.92,5818.92,1000.0,5000.0,51521.69,17637.84,33883.85,2025-09-17 23:22:34
97,2025-06,57350.0,8,2867.5,3000.0,6882.0,6882.0,1000.0,0.0,63217.5,14764.0,48453.5,2025-09-17 23:22:34
98,2025-06,43305.0,5,1353.28,0.0,5196.6,5196.6,1000.0,2000.0,44658.28,13393.2,31265.08,2025-09-17 23:22:34
99,2025-06,48267.0,9,2715.02,1000.0,5792.04,5792.04,1000.0,0.0,51982.02,12584.08,39397.94,2025-09-17 23:22:34
100,2025-06,28412.0,5,887.88,0.0,3409.44,1420.6,500.0,0.0,29299.88,5330.04,23969.84,2025-09-17 23:22:34
101,2025-06,72425.0,3,1357.97,0.0,8691.0,14485.0,1000.0,0.0,73782.97,24176.0,49606.97,2025-09-17 23:22:34
102,2025-06,52506.0,5,1640.81,0.0,6300.72,6300.72,1000.0,0.0,54146.81,13601.44,40545.37,2025-09-17 23:22:34
103,2025-06,45150.0,9,2539.69,3000.0,5418.0,5418.0,1000.0,0.0,50689.69,11836.0,38853.69,2025-09-17 23:22:34
104,2025-06,81352.0,1,508.45,500.0,9762.24,16270.4,1000.0,0.0,82360.45,27032.64,55327.81,2025-09-17 23:22:34
105,2025-06,111234.0,4,2780.85,2000.0,13348.08,22246.8,1000.0,2000.0,116014.85,38594.88,77419.97,2025-09-17 23:22:34
106,2025-06,32400.0,6,1215.0,2000.0,3888.0,3888.0,500.0,0.0,35615.0,8276.0,27339.0,2025-09-17 23:22:34
107,2025-06,76934.0,7,3365.86,3000.0,9232.08,15386.8,1000.0,0.0,83299.86,25618.88,57680.98,2025-09-17 23:22:34
108,2025-06,65259.0,6,2447.21,0.0,7831.08,7831.08,1000.0,0.0,67706.21,16662.16,51044.05,2025-09-17 23:22:34
109,2025-06,29167.0,0,0.0,2000.0,3500.04,1458.35,500.0,5000.0,31167.0,10458.39,20708.61,2025-09-17 23:22:34
110,2025-06,49689.0,8,2484.45,0.0,5962.68,5962.68,1000.0,2000.0,52173.45,14925.36,37248.09,2025-09-17 23:22:34
111,2025-06,43924.0,7,1921.67,1000.0,5270.88,5270.88,1000.0,0.0,46845.67,11541.76,35303.91,2025-09-17 23:22:34
112,2025-06,48625.0,4,1215.62,3000.0,5835.0,5835.0,1000.0,0.0,52840.62,12670.0,40170.62,2025-09-17 23:22:34
113,2025-06,29542.0,7,1292.46,1000.0,3545.04,1477.1,500.0,0.0,31834.46,5522.14,26312.32,2025-09-17 23:22:34
114,2025-06,64065.0,6,2402.44,0.0,7687.8,7687.8,1000.0,5000.0,66467.44,21375.6,45091.84,2025-09-17 23:22:34
115,2025-06,53295.0,3,999.28,0.0,6395.4,6395.4,1000.0,1000.0,54294.28,14790.8,39503.48,2025-09-17 23:22:34
116,2025-06,65262.0,3,1223.66,500.0,7831.44,7831.44,1000.0,2000.0,66985.66,18662.88,48322.78,2025-09-17 23:22:34
117,2025-06,44870.0,3,841.31,1000.0,5384.4,5384.4,1000.0,5000.0,46711.31,16768.8,29942.51,2025-09-17 23:22:34
118,2025-06,63178.0,5,1974.31,500.0,7581.36,7581.36,1000.0,0.0,65652.31,16162.72,49489.59,2025-09-17 23:22:34
119,2025-06,37435.0,5,1169.84,1000.0,4492.2,4492.2,500.0,2000.0,39604.84,11484.4,28120.44,2025-09-17 23:22:34
120,2025-06,38116.0,6,1429.35,500.0,4573.92,4573.92,500.0,1000.0,40045.35,10647.84,29397.51,2025-09-17 23:22:34
121,2025-06,49683.0,4,1242.08,500.0,5961.96,5961.96,1000.0,1000.0,51425.08,13923.92,37501.16,2025-09-17 23:22:34
122,2025-06,112641.0,3,2112.02,3000.0,13516.92,22528.2,1000.0,0.0,117753.02,37045.12,80707.9,2025-09-17 23:22:34
123,2025-06,36003.0,3,675.06,500.0,4320.36,4320.36,500.0,0.0,37178.06,9140.72,28037.34,2025-09-17 23:22:34
124,2025-06,83529.0,4,2088.22,0.0,10023.48,16705.8,1000.0,0.0,85617.22,27729.28,57887.94,2025-09-17 23:22:34
125,2025-06,113866.0,8,5693.3,500.0,13663.92,22773.2,1000.0,0.0,120059.3,37437.12,82622.18,2025-09-17 23:22:34
126,2025-06,41023.0,7,1794.76,0.0,4922.76,4922.76,1000.0,2000.0,42817.76,12845.52,29972.24,2025-09-17 23:22:34
127,2025-06,54703.0,1,341.89,0.0,6564.36,6564.36,1000.0,0.0,55044.89,14128.72,40916.17,2025-09-17 23:22:34
128,2025-06,49129.0,7,2149.39,2000.0,5895.48,5895.48,1000.0,5000.0,53278.39,17790.96,35487.43,2025-09-17 23:22:34
129,2025-06,65159.0,3,1221.73,1000.0,7819.08,7819.08,1000.0,0.0,67380.73,16638.16,50742.57,2025-09-17 23:22:34
130,2025-06,100284.0,1,626.77,0.0,12034.08,20056.8,1000.0,1000.0,100910.77,34090.88,66819.89,2025-09-17 23:22:34
131,2025-06,62349.0,3,1169.04,3000.0,7481.88,7481.88,1000.0,5000.0,66518.04,20963.76,45554.28,2025-09-17 23:22:34
132,2025-06,85990.0,3,1612.31,0.0,10318.8,17198.0,1000.0,5000.0,87602.31,33516.8,54085.51,2025-09-17 23:22:34
133,2025-06,54548.0,5,1704.62,2000.0,6545.76,6545.76,1000.0,0.0,58252.62,14091.52,44161.1,2025-09-17 23:22:34
134,2025-06,72712.0,5,2272.25,500.0,8725.44,14542.4,1000.0,5000.0,75484.25,29267.84,46216.41,2025-09-17 23:22:34
135,2025-06,32158.0,5,1004.94,1000.0,3858.96,3858.96,500.0,1000.0,34162.94,9217.92,24945.02,2025-09-17 23:22:34
136,2025-06,81540.0,4,2038.5,500.0,9784.8,16308.0,1000.0,5000.0,84078.5,32092.8,51985.7,2025-09-17 23:22:34
137,2025-06,35384.0,5,1105.75,1000.0,4246.08,4246.08,500.0,5000.0,37489.75,13992.16,23497.59,2025-09-17 23:22:34
138,2025-06,57606.0,4,1440.15,3000.0,6912.72,6912.72,1000.0,0.0,62046.15,14825.44,47220.71,2025-09-17 23:22:34
139,2025-06,51524.0,5,1610.12,1000.0,6182.88,6182.88,1000.0,2000.0,54134.12,15365.76,38768.36,2025-09-17 23:22:34
140,2025-06,43456.0,2,543.2,0.0,5214.72,5214.72,1000.0,2000.0,43999.2,13429.44,30569.76,2025-09-17 23:22:34
141,2025-06,98932.0,3,1854.98,500.0,11871.84,19786.4,1000.0,1000.0,101286.98,33658.24,67628.74,2025-09-17 23:22:34
142,2025-06,81187.0,7,3551.93,0.0,9742.44,16237.4,1000.0,0.0,84738.93,26979.84,57759.09,2025-09-17 23:22:34
143,2025-06,53538.0,4,1338.45,500.0,6424.56,6424.56,1000.0,2000.0,55376.45,15849.12,39527.33,2025-09-17 23:22:34
144,2025-06,49285.0,6,1848.19,1000.0,5914.2,5914.2,1000.0,0.0,52133.19,12828.4,39304.79,2025-09-17 23:22:34
145,2025-06,40173.0,3,753.24,0.0,4820.76,4820.76,1000.0,0.0,40926.24,10641.52,30284.72,2025-09-17 23:22:34
146,2025-06,38051.0,3,713.46,500.0,4566.12,4566.12,500.0,2000.0,39264.46,11632.24,27632.22,2025-09-17 23:22:34
147,2025-06,36941.0,10,2308.81,0.0,4432.92,4432.92,500.0,5000.0,39249.81,14365.84,24883.97,2025-09-17 23:22:34
148,2025-06,78413.0,5,2450.41,3000.0,9409.56,15682.6,1000.0,0.0,83863.41,26092.16,57771.25,2025-09-17 23:22:34
149,2025-06,29854.0,1,186.59,500.0,3582.48,1492.7,500.0,5000.0,30540.59,10575.18,19965.41,2025-09-17 23:22:34
150,2025-06,67811.0,5,2119.09,0.0,8137.32,8137.32,1000.0,0.0,69930.09,17274.64,52655.45,2025-09-17 23:22:34
151,2025-06,49963.0,6,1873.61,0.0,5995.56,5995.56,1000.0,0.0,51836.61,12991.12,38845.49,2025-09-17 23:22:34
152,2025-06,44388.0,6,1664.55,0.0,5326.56,5326.56,1000.0,5000.0,46052.55,16653.12,29399.43,2025-09-17 23:22:34
153,2025-06,41254.0,3,773.51,3000.0,4950.48,4950.48,1000.0,0.0,45027.51,10900.96,34126.55,2025-09-17 23:22:34
154,2025-06,57415.0,7,2511.91,0.0,6889.8,6889.8,1000.0,5000.0,59926.91,19779.6,40147.31,2025-09-17 23:22:34
155,2025-06,78434.0,5,2451.06,500.0,9412.08,15686.8,1000.0,0.0,81385.06,26098.88,55286.18,2025-09-17 23:22:34
156,2025-06,56508.0,6,2119.05,0.0,6780.96,6780.96,1000.0,5000.0,58627.05,19561.92,39065.13,2025-09-17 23:22:34
157,2025-06,41716.0,7,1825.08,0.0,5005.92,5005.92,1000.0,1000.0,43541.08,12011.84,31529.24,2025-09-17 23:22:34
158,2025-06,63777.0,5,1993.03,0.0,7653.24,7653.24,1000.0,2000.0,65770.03,18306.48,47463.55,2025-09-17 23:22:34
159,2025-06,41282.0,6,1548.07,0.0,4953.84,4953.84,1000.0,0.0,42830.07,10907.68,31922.39,2025-09-17 23:22:34
160,2025-06,55478.0,2,693.48,0.0,6657.36,6657.36,1000.0,2000.0,56171.48,16314.72,39856.76,2025-09-17 23:22:34
161,2025-06,57721.0,3,1082.27,0.0,6926.52,6926.52,1000.0,2000.0,58803.27,16853.04,41950.23,2025-09-17 23:22:34
162,2025-06,95428.0,4,2385.7,0.0,11451.36,19085.6,1000.0,2000.0,97813.7,33536.96,64276.74,2025-09-17 23:22:34
163,2025-06,53699.0,1,335.62,3000.0,6443.88,6443.88,1000.0,2000.0,57034.62,15887.76,41146.86,2025-09-17 23:22:34
164,2025-06,32621.0,1,203.88,500.0,3914.52,3914.52,500.0,0.0,33324.88,8329.04,24995.84,2025-09-17 23:22:34
165,2025-06,52302.0,5,1634.44,0.0,6276.24,6276.24,1000.0,1000.0,53936.44,14552.48,39383.96,2025-09-17 23:22:34
166,2025-06,77497.0,7,3390.49,2000.0,9299.64,15499.4,1000.0,2000.0,82887.49,27799.04,55088.45,2025-09-17 23:22:34
167,2025-06,81271.0,6,3047.66,0.0,9752.52,16254.2,1000.0,0.0,84318.66,27006.72,57311.94,2025-09-17 23:22:34
168,2025-06,26062.0,6,977.32,0.0,3127.44,1303.1,500.0,5000.0,27039.32,9930.54,17108.78,2025-09-17 23:22:34
169,2025-06,29632.0,6,1111.2,1000.0,3555.84,1481.6,500.0,0.0,31743.2,5537.44,26205.76,2025-09-17 23:22:34
170,2025-06,33258.0,9,1870.76,0.0,3990.96,3990.96,500.0,5000.0,35128.76,13481.92,21646.84,2025-09-17 23:22:34
171,2025-06,51069.0,6,1915.09,0.0,6128.28,6128.28,1000.0,1000.0,52984.09,14256.56,38727.53,2025-09-17 23:22:34
172,2025-06,117274.0,4,2931.85,0.0,14072.88,23454.8,1000.0,5000.0,120205.85,43527.68,76678.17,2025-09-17 23:22:34
173,2025-06,59529.0,4,1488.22,1000.0,7143.48,7143.48,1000.0,5000.0,62017.22,20286.96,41730.26,2025-09-17 23:22:34
174,2025-06,31812.0,2,397.65,3000.0,3817.44,3817.44,500.0,0.0,35209.65,8134.88,27074.77,2025-09-17 23:22:34
175,2025-06,26605.0,7,1163.97,500.0,3192.6,1330.25,500.0,0.0,28268.97,5022.85,23246.12,2025-09-17 23:22:34
176,2025-06,69818.0,3,1309.09,0.0,8378.16,8378.16,1000.0,0.0,71127.09,17756.32,53370.77,2025-09-17 23:22:34
177,2025-06,39043.0,3,732.06,500.0,4685.16,4685.16,500.0,2000.0,40275.06,11870.32,28404.74,2025-09-17 23:22:34
178,2025-06,43935.0,2,549.19,0.0,5272.2,5272.2,1000.0,2000.0,44484.19,13544.4,30939.79,2025-09-17 23:22:34
179,2025-06,40954.0,7,1791.74,0.0,4914.48,4914.48,1000.0,2000.0,42745.74,12828.96,29916.78,2025-09-17 23:22:34
180,2025-06,31469.0,2,393.36,0.0,3776.28,3776.28,500.0,0.0,31862.36,8052.56,23809.8,2025-09-17 23:22:34
181,2025-06,80587.0,6,3022.01,2000.0,9670.44,16117.4,1000.0,0.0,85609.01,26787.84,58821.17,2025-09-17 23:22:34
182,2025-06,87533.0,4,2188.32,0.0,10503.96,17506.6,1000.0,5000.0,89721.32,34010.56,55710.76,2025-09-17 23:22:34
183,2025-06,48128.0,6,1804.8,2000.0,5775.36,5775.36,1000.0,1000.0,51932.8,13550.72,38382.08,2025-09-17 23:22:34
184,2025-06,52422.0,9,2948.74,1000.0,6290.64,6290.64,1000.0,5000.0,56370.74,18581.28,37789.46,2025-09-17 23:22:34
185,2025-06,62387.0,6,2339.51,2000.0,7486.44,7486.44,1000.0,0.0,66726.51,15972.88,50753.63,2025-09-17 23:22:34
186,2025-06,71614.0,6,2685.52,0.0,8593.68,14322.8,1000.0,2000.0,74299.52,25916.48,48383.04,2025-09-17 23:22:34
187,2025-06,25235.0,8,1261.75,2000.0,3028.2,1261.75,500.0,0.0,28496.75,4789.95,23706.8,2025-09-17 23:22:34
188,2025-06,54019.0,6,2025.71,2000.0,6482.28,6482.28,1000.0,0.0,58044.71,13964.56,44080.15,2025-09-17 23:22:34
189,2025-06,30951.0,3,580.33,0.0,3714.12,3714.12,500.0,2000.0,31531.33,9928.24,21603.09,2025-09-17 23:22:34
190,2025-06,75523.0,7,3304.13,3000.0,9062.76,15104.6,1000.0,2000.0,81827.13,27167.36,54659.77,2025-09-17 23:22:34
191,2025-06,47282.0,5,1477.56,0.0,5673.84,5673.84,1000.0,2000.0,48759.56,14347.68,34411.88,2025-09-17 23:22:34
192,2025-06,88303.0,6,3311.36,1000.0,10596.36,17660.6,1000.0,0.0,92614.36,29256.96,63357.4,2025-09-17 23:22:34
193,2025-06,63574.0,7,2781.36,0.0,7628.88,7628.88,1000.0,5000.0,66355.36,21257.76,45097.6,2025-09-17 23:22:34
194,2025-06,90558.0,5,2829.94,1000.0,10866.96,18111.6,1000.0,0.0,94387.94,29978.56,64409.38,2025-09-17 23:22:34
195,2025-06,36970.0,5,1155.31,2000.0,4436.4,4436.4,500.0,0.0,40125.31,9372.8,30752.51,2025-09-17 23:22:34
196,2025-06,56951.0,7,2491.61,500.0,6834.12,6834.12,1000.0,5000.0,59942.61,19668.24,40274.37,2025-09-17 23:22:34
